time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010444850000	10.1619	1.39616	5.19312	0.275113	0.282851	radar	4.51337	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3849	1.46981	5.15317	0.292585	0.28843	lidar	0.977027	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6119	1.56376	4.99555	0.324083	0.321003	radar	3.07214	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8351	1.57735	4.94329	0.303565	0.266723	lidar	1.60216	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.104	1.6293	5.05323	0.297118	0.233437	radar	2.50795	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3869	1.66245	5.09602	0.279743	0.189582	lidar	2.34833	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6169	1.71811	5.02427	0.283208	0.182171	radar	0.726122	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8459	1.77579	4.99964	0.286167	0.173085	lidar	0.291091	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1038	1.87138	5.13158	0.303535	0.182549	radar	1.47459	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3499	1.88675	5.10033	0.277378	0.130174	lidar	0.789696	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6082	1.94565	5.18781	0.273646	0.112154	radar	0.797224	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8073	2.08869	5.15094	0.326389	0.181859	lidar	3.13693	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0765	2.20349	5.30768	0.345717	0.191616	radar	2.84281	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2809	2.34914	5.27332	0.391788	0.245509	lidar	2.33159	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4518	2.50953	5.05396	0.454804	0.332451	radar	10.6182	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7034	2.61554	5.08838	0.463473	0.320513	lidar	0.936734	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9216	2.73279	5.06337	0.482852	0.32692	radar	0.123006	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1507	2.88341	5.09868	0.514651	0.349182	lidar	0.411529	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4035	2.99592	5.23387	0.51055	0.306542	radar	1.52245	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6134	3.05029	5.14097	0.49022	0.255287	lidar	2.52181	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8442	3.21487	5.25191	0.520116	0.274568	radar	3.40799	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0536	3.41142	5.28994	0.570524	0.327897	lidar	0.731411	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2603	3.58945	5.23653	0.612734	0.374287	radar	2.44774	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4757	3.77248	5.27334	0.645923	0.395081	lidar	0.330394	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6861	3.90838	5.24401	0.653487	0.378116	radar	1.16298	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
